"group1","group2","shared_count","diff_count_group1","diff_count_group2","total_diff_count"
"345","173",16,37,33,70
"345","639",16,37,39,76
"345","318",15,38,22,60
"345","372",7,46,50,96
"345","374",35,18,33,51
"345","293",20,33,34,67
"345","649",39,14,27,41
"345","440",18,35,32,67
"345","232",6,47,36,83
"345","281",7,46,42,88
"345","346",4,49,34,83
"345","212",42,11,41,52
"345","119",45,8,42,50
"173","639",30,19,25,44
"173","318",24,25,13,38
"173","372",7,42,50,92
"173","374",22,27,46,73
"173","293",33,16,21,37
"173","649",21,28,45,73
"173","440",32,17,18,35
"173","232",4,45,38,83
"173","281",4,45,45,90
"173","346",4,45,34,79
"173","212",25,24,58,82
"173","119",25,24,62,86
"639","318",22,33,15,48
"639","372",7,48,50,98
"639","374",24,31,44,75
"639","293",35,20,19,39
"639","649",22,33,44,77
"639","440",47,8,3,11
"639","232",5,50,37,87
"639","281",5,50,44,94
"639","346",5,50,33,83
"639","212",25,30,58,88
"639","119",26,29,61,90
"318","372",4,33,53,86
"318","374",20,17,48,65
"318","293",27,10,27,37
"318","649",20,17,46,63
"318","440",24,13,26,39
"318","232",4,33,38,71
"318","281",3,34,46,80
"318","346",4,33,34,67
"318","212",23,14,60,74
"318","119",23,14,64,78
"372","374",14,43,54,97
"372","293",8,49,46,95
"372","649",11,46,55,101
"372","440",8,49,42,91
"372","232",38,19,4,23
"372","281",44,13,5,18
"372","346",37,20,1,21
"372","212",14,43,69,112
"372","119",14,43,73,116
"374","293",26,42,28,70
"374","649",46,22,20,42
"374","440",24,44,26,70
"374","232",9,59,33,92
"374","281",9,59,40,99
"374","346",9,59,29,88
"374","212",64,4,19,23
"374","119",64,4,23,27
"293","649",26,28,40,68
"293","440",37,17,13,30
"293","232",7,47,35,82
"293","281",7,47,42,89
"293","346",7,47,31,78
"293","212",30,24,53,77
"293","119",29,25,58,83
"649","440",23,43,27,70
"649","232",8,58,34,92
"649","281",10,56,39,95
"649","346",8,58,30,88
"649","212",57,9,26,35
"649","119",58,8,29,37
"440","232",6,44,36,80
"440","281",6,44,43,87
"440","346",6,44,32,76
"440","212",26,24,57,81
"440","119",26,24,61,85
"232","281",34,8,15,23
"232","346",32,10,6,16
"232","212",8,34,75,109
"232","119",8,34,79,113
"281","346",32,17,6,23
"281","212",8,41,75,116
"281","119",9,40,78,118
"346","212",8,30,75,105
"346","119",8,30,79,109
"212","119",80,3,7,10
